apertura,branch_id,brand,city,country,db_cost_center,db_match,display_name,estado,is_deleted,is_presale,key,m2,name,nueva,partner_id,partner_name,pendiente,punto_equilibrio,region_name,source,updated_at
2025-07-21,58,ACTION_EXPERIENCE,SABANETA,CO,"{'id': 24, 'is_active': True, 'name': 'Action Ciudadela Sabaneta'}",id,Ciudadela Sabaneta,activa,0,0,CO:58,657.0,ParqueSabaneta,False,50,EVO,False,835.0,ANTIOQUIA SUR,master_sedes,2026-08-27T03:26:55Z
2024-11-29,29,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 25, 'is_active': True, 'name': 'Action Colina'}",id,Colina,activa,0,0,CO:29,928.0,Colina,False,31,EVO,False,1042.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2024-08-16,21,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 26, 'is_active': True, 'name': 'Action Connecta 26'}",id,Connecta 26,activa,0,0,CO:21,1267.0,Connecta26,False,22,EVO,False,1059.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2025-05-02,26,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 27, 'is_active': True, 'name': 'Action Connecta 80'}",id,Connecta 80,activa,0,0,CO:26,583.92,Connecta80,False,28,EVO,False,844.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2025-10-17,85,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 28, 'is_active': True, 'name': 'Action Corporate Center'}",id,Corporate Center,activa,0,0,CO:85,894.8,HotelMarriotSalitre,False,61,EVO,False,721.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2024-08-09,23,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 29, 'is_active': True, 'name': 'Action Cortezza'}",id,Cortezza,activa,0,0,CO:23,501.15,Cortezza,False,24,EVO,False,800.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
2026-08-01,34,ACTION_SPORT_CLUB,"BOGOTÁ, D.C.",CO,,,Easy Norte,inactiva,0,1,CO:34,2103.0,EasyNorte,False,37,EVO,False,0.0,ACTION SPORT CLUB,master_sedes,2026-08-27T03:26:55Z
2025-08-18,60,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 33, 'is_active': True, 'name': 'Action El Eden'}",id,El Edén,activa,0,0,CO:60,554.0,ElEden,False,52,EVO,False,841.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2025-05-24,61,ACTION_EXPERIENCE,PEREIRA,CO,"{'id': 34, 'is_active': True, 'name': 'Action Epic Pereira'}",id,Epic Pereira,activa,0,0,CO:61,709.18,UnicentroPereira,False,51,EVO,False,797.0,B/QUILLA - CALI - PEREIRA,master_sedes,2026-08-27T03:26:55Z
,123,ACTION_EXPERIENCE,MEDELLÍN,CO,,,Eventos,inactiva,1,1,CO:123,,EventosAX,False,123,AX,False,,,,
2025-12-05,93,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 42, 'is_active': True, 'name': 'Action Fic 48 Cd Del Rio'}",id,FIC 48 CD DEL RIO,activa,0,0,CO:93,840.0,FIC48CDDelRio,False,68,EVO,False,684.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
2023-06-20,10,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 41, 'is_active': True, 'name': 'Action Feeling'}",id,Inferior,activa,0,0,CO:10,438.0,Feeling,False,12,EVO,False,829.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
2022-12-02,1,ACTION_EXPERIENCE,ENVIGADO,CO,"{'id': 43, 'is_active': True, 'name': 'Action Intermedia'}",id,Intermedia,activa,0,0,CO:1,665.0,Intermedia,False,1,EVO,False,971.0,ANTIOQUIA SUR,master_sedes,2026-08-27T03:26:55Z
2026-08-24,38,ACTION_EXPERIENCE,RIONEGRO,CO,"{'id': 44, 'is_active': True, 'name': 'Action Jardines Llanogrande'}",id,Jardines Llano Grande,activa,0,0,CO:38,695.0,JardinesLlanoGrande,False,41,EVO,False,400.0,ANTIOQUIA CENTRO,admin,2026-08-27T15:42:43Z
,35,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,,,Jumbo 170,inactiva,1,1,CO:35,,Jumbo170,False,38,EVO,False,,BOGOTÁ,,
