display_name,ValorBaixa,DtLancamento,IdFilial
Viva Barranquilla,"199.900,00",2026-01-01,21
Viva Barranquilla,"199.900,00",2026-01-01,21
Viva Barranquilla,"199.900,00",2026-01-01,21
Corporate Center,"219.900,00",2026-01-01,61
City Plaza,"199.900,00",2026-01-01,6
City Plaza,"199.900,00",2026-01-01,6
Campestre,"199.900,00",2026-01-01,5
Corporate Center,"219.900,00",2026-01-01,61
Campestre,"219.900,00",2026-01-01,5
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
El Edén,"219.900,00",2026-01-01,52
City Plaza,"219.900,00",2026-01-01,6
El Edén,"249.900,00",2026-01-01,52
El Edén,"249.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
